iter	Passed	Remaining
919	2233	194
920	2238	191
921	2242	189
922	2245	187
923	2246	184
924	2248	182
925	2253	180
926	2257	177
927	2261	175
928	2263	173
929	2267	170
930	2271	168
931	2274	165
932	2277	163
933	2279	161
934	2282	158
935	2286	156
936	2289	153
937	2292	151
938	2298	149
939	2301	146
940	2304	144
941	2306	141
942	2308	139
943	2315	137
944	2318	134
945	2320	132
946	2321	129
947	2324	127
948	2327	125
949	2330	122
950	2334	120
951	2337	117
952	2340	115
953	2343	112
954	2346	110
955	2349	108
956	2352	105
957	2353	103
958	2356	100
959	2359	98
960	2361	95
961	2363	93
962	2364	90
963	2366	88
964	2368	85
965	2370	83
966	2371	80
967	2375	78
968	2376	76
969	2378	73
970	2379	71
971	2381	68
972	2382	66
973	2384	63
974	2386	61
975	2388	58
976	2390	56
977	2392	53
978	2393	51
979	2395	48
980	2396	46
981	2398	43
982	2399	41
983	2401	39
984	2404	36
985	2405	34
986	2407	31
987	2409	29
988	2410	26
989	2412	24
990	2414	21
991	2416	19
992	2419	17
993	2420	14
994	2422	12
995	2424	9
996	2426	7
997	2428	4
998	2429	2
999	2431	0
